name,population,median_income,state,place
"Silverdale CDP, Washington",21301,87558,53,64365
"Silver Firs CDP, Washington",22122,137577,53,64380
"Sisco Heights CDP, Washington",3257,123542,53,64610
"Skamokawa Valley CDP, Washington",249,16934,53,64755
"Skokomish CDP, Washington",593,51625,53,64775
"Skykomish town, Washington",104,46250,53,64855
"Snohomish city, Washington",10091,77308,53,65170
"Snoqualmie city, Washington",13718,171241,53,65205
"Snoqualmie Pass CDP, Washington",430,120820,53,65275
"Soap Lake city, Washington",1333,36767,53,65345
"South Bend city, Washington",1728,46115,53,65625
"South Cle Elum town, Washington",778,68214,53,65765
"South Creek CDP, Washington",2019,70914,53,65810
"South Hill CDP, Washington",66713,95000,53,65922
"South Prairie town, Washington",357,92083,53,66045
"South Wenatchee CDP, Washington",1383,52326,53,66185
"Southworth CDP, Washington",2017,109440,53,66220
"Spanaway CDP, Washington",34670,81018,53,66255
"Spangle city, Washington",265,64643,53,66290
"Spokane city, Washington",225709,56977,53,67000
"Spokane Valley city, Washington",102178,60079,53,67167
"Sprague city, Washington",571,63594,53,67175
"Springdale town, Washington",506,45774,53,67210
"Stansberry Lake CDP, Washington",2062,132656,53,67435
"Stanwood city, Washington",7776,89231,53,67455
"Starbuck town, Washington",159,48438,53,67490
"Startup CDP, Washington",549,-666666666,53,67595
"Steilacoom town, Washington",6673,95316,53,67770
"Steptoe CDP, Washington",109,34722,53,67805
"Stevenson city, Washington",1572,66250,53,67875
"Sudden Valley CDP, Washington",7251,89500,53,68200
"Sultan city, Washington",5208,73530,53,68260
"Sumas city, Washington",1392,62063,53,68330
"Summit CDP, Washington",8897,92837,53,68365
"Summit View CDP, Washington",8593,90330,53,68410
"Summitview CDP, Washington",2009,74393,53,68417
"Sumner city, Washington",10545,77601,53,68435
"Suncrest CDP, Washington",5459,91750,53,68460
"Sunday Lake CDP, Washington",845,99737,53,68480
"Sunland Estates CDP, Washington",88,99821,53,68557
"Sunnyside city, Washington",16343,43750,53,68750
"Sunnyslope CDP, Washington",3505,107429,53,68785
"Suquamish CDP, Washington",4251,72019,53,69170
"Swede Heaven CDP, Washington",1180,109583,53,69280
"Tacoma city, Washington",217332,69956,53,70000
"Taholah CDP, Washington",685,34327,53,70175
"Tampico CDP, Washington",395,79926,53,70245
"Tanglewilde CDP, Washington",7068,80828,53,70280
"Tehaleh CDP, Washington",5226,122913,53,70543
"Tekoa city, Washington",742,48214,53,70560
"Tenino city, Washington",1854,55202,53,70630
"Terrace Heights CDP, Washington",9114,74176,53,70805
"Thorp CDP, Washington",79,-666666666,53,71225
"Three Lakes CDP, Washington",3489,132250,53,71330
"Tieton city, Washington",2044,51742,53,71400
"Tokeland CDP, Washington",205,19167,53,71680
"Toledo city, Washington",485,58542,53,71785
"Tonasket city, Washington",980,36691,53,71890
"Toppenish city, Washington",8843,57268,53,71960
"Torboy CDP, Washington",223,-666666666,53,71995
"Touchet CDP, Washington",370,87431,53,72030
"Town and Country CDP, Washington",5479,77182,53,72170
"Tracyton CDP, Washington",5563,75912,53,72205
